epoch_index,timestamp_start,timestamp_end,predicted_stage,confidence,prob_Wake,prob_REM,prob_Light,prob_Deep
274,8220.0,8249.6,Light,0.65,0.1167,0.1167,0.65,0.1167
275,8250.0,8279.6,Light,0.65,0.1167,0.1167,0.65,0.1167
276,8280.0,8309.6,Light,0.65,0.1167,0.1167,0.65,0.1167
277,8310.0,8339.6,Wake,0.58,0.58,0.14,0.14,0.14
278,8340.0,8369.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
279,8370.0,8399.6,Wake,0.58,0.58,0.14,0.14,0.14
280,8400.0,8429.6,Wake,0.58,0.58,0.14,0.14,0.14
281,8430.0,8459.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
282,8460.0,8489.6,Wake,0.58,0.58,0.14,0.14,0.14
283,8490.0,8519.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
284,8520.0,8549.6,Light,0.65,0.1167,0.1167,0.65,0.1167
285,8550.0,8579.6,Wake,0.58,0.58,0.14,0.14,0.14
286,8580.0,8609.6,Wake,0.58,0.58,0.14,0.14,0.14
287,8610.0,8639.6,Wake,0.58,0.58,0.14,0.14,0.14
288,8640.0,8669.6,Wake,0.58,0.58,0.14,0.14,0.14
289,8670.0,8699.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
290,8700.0,8729.6,Light,0.65,0.1167,0.1167,0.65,0.1167
291,8730.0,8759.6,Wake,0.58,0.58,0.14,0.14,0.14
292,8760.0,8789.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
293,8790.0,8819.6,Light,0.65,0.1167,0.1167,0.65,0.1167
294,8820.0,8849.6,Wake,0.58,0.58,0.14,0.14,0.14
295,8850.0,8879.6,Wake,0.58,0.58,0.14,0.14,0.14
296,8880.0,8909.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
297,8910.0,8939.6,Light,0.65,0.1167,0.1167,0.65,0.1167
298,8940.0,8969.6,Wake,0.58,0.58,0.14,0.14,0.14
299,8970.0,8999.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
300,9000.0,9029.6,Light,0.65,0.1167,0.1167,0.65,0.1167
301,9030.0,9059.6,Wake,0.58,0.58,0.14,0.14,0.14
302,9060.0,9089.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
303,9090.0,9119.6,Light,0.65,0.1167,0.1167,0.65,0.1167
304,9120.0,9149.6,Wake,0.58,0.58,0.14,0.14,0.14
305,9150.0,9179.6,Wake,0.58,0.58,0.14,0.14,0.14
306,9180.0,9209.6,Wake,0.58,0.58,0.14,0.14,0.14
307,9210.0,9239.6,Wake,0.58,0.58,0.14,0.14,0.14
308,9240.0,9269.6,Wake,0.58,0.58,0.14,0.14,0.14
309,9270.0,9299.6,Wake,0.58,0.58,0.14,0.14,0.14
310,9300.0,9329.6,Wake,0.58,0.58,0.14,0.14,0.14
311,9330.0,9359.6,Wake,0.58,0.58,0.14,0.14,0.14
312,9360.0,9389.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
313,9390.0,9419.6,Light,0.65,0.1167,0.1167,0.65,0.1167
314,9420.0,9449.6,Light,0.65,0.1167,0.1167,0.65,0.1167
315,9450.0,9479.6,Wake,0.58,0.58,0.14,0.14,0.14
316,9480.0,9509.6,Wake,0.58,0.58,0.14,0.14,0.14
317,9510.0,9539.6,Wake,0.58,0.58,0.14,0.14,0.14
318,9540.0,9569.6,Wake,0.58,0.58,0.14,0.14,0.14
319,9570.0,9599.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
320,9600.0,9629.6,Wake,0.58,0.58,0.14,0.14,0.14
321,9630.0,9659.6,Wake,0.58,0.58,0.14,0.14,0.14
322,9660.0,9689.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
323,9690.0,9719.6,Light,0.65,0.1167,0.1167,0.65,0.1167
324,9720.0,9749.6,Light,0.65,0.1167,0.1167,0.65,0.1167
325,9750.0,9779.6,Wake,0.58,0.58,0.14,0.14,0.14
326,9780.0,9809.6,Wake,0.58,0.58,0.14,0.14,0.14
327,9810.0,9839.6,Wake,0.58,0.58,0.14,0.14,0.14
328,9840.0,9869.6,Wake,0.58,0.58,0.14,0.14,0.14
329,9870.0,9899.6,Wake,0.58,0.58,0.14,0.14,0.14
330,9900.0,9929.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
331,9930.0,9959.6,Light,0.65,0.1167,0.1167,0.65,0.1167
332,9960.0,9989.6,Light,0.65,0.1167,0.1167,0.65,0.1167
333,9990.0,10019.6,Wake,0.58,0.58,0.14,0.14,0.14
334,10020.0,10049.6,Wake,0.58,0.58,0.14,0.14,0.14
335,10050.0,10079.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
336,10080.0,10109.6,Light,0.65,0.1167,0.1167,0.65,0.1167
337,10110.0,10139.6,Wake,0.58,0.58,0.14,0.14,0.14
338,10140.0,10169.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
339,10170.0,10199.6,Wake,0.58,0.58,0.14,0.14,0.14
340,10200.0,10229.6,Wake,0.58,0.58,0.14,0.14,0.14
341,10230.0,10259.6,Wake,0.58,0.58,0.14,0.14,0.14
342,10260.0,10289.6,Wake,0.58,0.58,0.14,0.14,0.14
343,10290.0,10319.6,Wake,0.58,0.58,0.14,0.14,0.14
344,10320.0,10349.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
345,10350.0,10379.6,Wake,0.58,0.58,0.14,0.14,0.14
346,10380.0,10409.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
347,10410.0,10439.6,Wake,0.58,0.58,0.14,0.14,0.14
348,10440.0,10469.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
349,10470.0,10499.6,Light,0.65,0.1167,0.1167,0.65,0.1167
350,10500.0,10529.6,Light,0.65,0.1167,0.1167,0.65,0.1167
351,10530.0,10559.6,Wake,0.58,0.58,0.14,0.14,0.14
352,10560.0,10589.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
353,10590.0,10619.6,Wake,0.58,0.58,0.14,0.14,0.14
354,10620.0,10649.6,Wake,0.58,0.58,0.14,0.14,0.14
355,10650.0,10679.6,Wake,0.58,0.58,0.14,0.14,0.14
356,10680.0,10709.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
357,10710.0,10739.6,Light,0.65,0.1167,0.1167,0.65,0.1167
358,10740.0,10769.6,Light,0.65,0.1167,0.1167,0.65,0.1167
359,10770.0,10799.6,Wake,0.58,0.58,0.14,0.14,0.14
360,10800.0,10829.6,Wake,0.58,0.58,0.14,0.14,0.14
361,10830.0,10859.6,Wake,0.58,0.58,0.14,0.14,0.14
362,10860.0,10889.6,Wake,0.58,0.58,0.14,0.14,0.14
363,10890.0,10919.6,Wake,0.58,0.58,0.14,0.14,0.14
364,10920.0,10949.6,Wake,0.58,0.58,0.14,0.14,0.14
365,10950.0,10979.6,Wake,0.58,0.58,0.14,0.14,0.14
366,10980.0,11009.6,Wake,0.58,0.58,0.14,0.14,0.14
367,11010.0,11039.6,Wake,0.58,0.58,0.14,0.14,0.14
368,11040.0,11069.6,Wake,0.58,0.58,0.14,0.14,0.14
369,11070.0,11099.6,Wake,0.58,0.58,0.14,0.14,0.14
370,11100.0,11129.6,Wake,0.58,0.58,0.14,0.14,0.14
371,11130.0,11159.6,Wake,0.58,0.58,0.14,0.14,0.14
372,11160.0,11189.6,Wake,0.58,0.58,0.14,0.14,0.14
373,11190.0,11219.6,Wake,0.58,0.58,0.14,0.14,0.14
